Date,Open,High,Low,Close,Change,Change(%),Ratio(%),Volume,Value(T),Interval_High_Open,Interval_Open_From_LastDay,Interval_Open_From_LastDay(%),Cluster,Cluster_Selected,PCA1,PCA2
847,50.0,50.0,50.0,50.0,3,0.0,0.0,52,575,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
845,50.0,50.0,50.0,50.0,3,0.0,0.0,162,713,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
843,50.0,50.0,50.0,50.0,3,0.0,0.0,35,573,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
917,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
914,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
911,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
909,50.0,50.0,50.0,50.0,3,0.0,0.0,248,808,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
900,50.0,50.0,50.0,50.0,3,0.0,0.0,294,7,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
815,50.0,50.0,50.0,50.0,3,0.0,0.0,262,75,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
808,50.0,50.0,50.0,50.0,3,0.0,0.0,323,114,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
806,50.0,50.0,50.0,50.0,3,0.0,0.0,479,207,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
804,50.0,50.0,50.0,50.0,3,0.0,0.0,366,143,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
795,50.0,50.0,50.0,50.0,3,0.0,0.0,582,333,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
791,50.0,50.0,50.0,50.0,3,0.0,0.0,184,736,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
787,50.0,50.0,50.0,50.0,3,0.0,0.0,576,329,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
784,50.0,50.0,50.0,50.0,3,0.0,0.0,362,37,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
782,50.0,50.0,50.0,50.0,3,0.0,0.0,720,450,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
772,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
767,50.0,50.0,50.0,50.0,3,0.0,0.0,745,472,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
764,50.0,50.0,50.0,50.0,3,0.0,0.0,283,81,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
760,50.0,50.0,50.0,50.0,3,0.0,0.0,1,557,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
759,50.0,50.0,50.0,50.0,3,0.0,0.0,323,114,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
749,50.0,50.0,50.0,50.0,3,0.0,0.0,205,764,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
835,50.0,50.0,50.0,50.0,3,0.0,0.0,366,143,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
831,50.0,50.0,50.0,50.0,3,0.0,0.0,601,334,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
829,50.0,50.0,50.0,50.0,3,0.0,0.0,655,409,-5.551115123125783e-17,0.0,0,0,0,-1.5182926104993097,-0.1861405174388373
